#Y dist(nm)	Y force(pN)
-192.880817	0.143200
-201.632783	0.605000
-192.605117	0.051400
-199.911183	0.464000
-207.293917	0.885700
-193.172450	0.046200
-196.068317	0.211300
-200.000650	0.375900
-208.932633	0.818600
-201.265433	0.338900
-197.733100	0.109800
-200.707817	0.260500
-207.399733	0.613700
-205.442317	0.504400
-206.452717	0.454000
-208.839483	0.573800
-205.060033	0.304700
-207.743933	0.443900
-207.737967	0.439000
-204.545767	0.244900
-208.171400	0.300900
-209.024600	0.350100
-212.554550	0.543300
-213.211617	0.564400
-214.546300	0.522900
-213.972650	0.460500
-223.589117	1.027000
-216.025617	0.555700
-213.428267	0.364000
-212.532917	0.340300
-215.437517	0.425800
-213.887917	0.285100
-215.478900	0.300600
-213.970783	0.194600
-218.137217	0.441100
-215.436717	0.266800
-220.489050	0.477300
-220.431167	0.368500
-224.588583	0.596900
-224.038883	0.531500
-214.797500	-0.044100
-226.923833	0.552500
-218.333467	-0.015500
-224.634783	0.303200
-223.033850	0.218400
-227.872633	0.473900
-224.405600	0.238200
-224.763517	0.136000
-227.723967	0.286300
-229.408583	0.325700
-235.684417	0.690100
-231.474250	0.421500
-228.021500	0.219300
-238.951583	0.728000
-229.590950	0.156300
-230.710167	0.206200
-230.481350	0.166200
-226.777533	-0.127900
-232.705900	0.100800
-235.720900	0.259500
-235.256917	0.168100
-243.002883	0.615800
-235.246050	0.148500
-235.415517	0.097900
-229.506900	-0.338700
-235.375183	-0.038500
-236.388100	-0.014700
-238.454283	0.098600
-243.591850	0.364800
-242.063583	0.261200
-241.301883	0.161600
-248.131100	0.533100
-252.901700	0.827700
-248.592833	0.568700
-232.493750	-0.453300
-240.695583	0.011900
-242.613217	0.061900
-246.806567	0.320500
-243.335667	0.105700
-245.866933	0.208100
-239.850883	-0.334600
-233.854533	-0.663700
-246.745917	0.061900
-244.405750	-0.102000
-253.812683	0.292700
-257.572883	0.542000
-247.982667	-0.060200
-253.092217	0.235000
-255.777817	0.346000
-247.620033	-0.157000
-244.357567	-0.376700
