#Y dist(nm)	Y force(pN)
-190.700733	0.341900
-192.495317	0.426700
-180.104067	-0.333500
-197.977733	0.692600
-189.688017	0.188500
-194.163950	0.438300
-190.787767	0.223600
-192.488233	0.017900
-199.280700	0.422100
-196.499183	0.261200
-192.731333	0.019400
-201.432750	0.470400
-197.759700	0.219900
-203.944533	0.586400
-193.914583	-0.023200
-195.725700	0.065700
-197.816583	0.176000
-190.023617	-0.413300
-194.946367	-0.219500
-204.355033	0.347600
-203.703900	0.285900
-197.809067	-0.057800
-200.503600	0.053700
-204.179317	0.273100
-201.651650	0.123300
-204.693717	0.264700
-205.061817	0.051400
-207.601900	0.157800
-204.986117	-0.036200
-216.805767	0.650200
-207.210183	0.052700
-202.013467	-0.261800
-203.474967	-0.200300
-214.130167	0.435100
-215.484033	0.282200
-207.666567	-0.232400
-210.868283	-0.059800
-214.490867	0.142600
-221.275683	0.446000
-216.579250	0.098100
-215.109283	-0.001000
-216.824950	0.089100
-218.618133	0.180200
-222.594000	0.400200
-223.559767	0.532000
-219.669967	0.419200
-210.335083	-0.142600
-206.070950	-0.417300
-209.275800	-0.252000
-220.203700	0.389700
-217.647150	0.226800
-218.732767	0.280300
-219.593250	0.318900
-211.188350	-0.174600
-212.744300	-0.042000
-219.543417	0.590800
-217.015517	0.473800
-212.863050	0.229800
-211.826900	0.145800
-209.258250	0.113100
-210.373117	0.206200
-217.334083	0.647000
-209.889500	0.188700
-206.572183	-0.008500
-212.855600	0.357000
-205.837517	0.048400
-214.049217	0.548200
-208.096567	0.235000
-206.808633	0.161600
-201.736483	-0.153100
-205.953917	0.082300
-210.628317	0.436600
-209.861717	0.430300
-206.260917	0.237400
-204.043133	0.155000
-201.761717	-0.027200
-198.422950	-0.232500
-204.778817	0.123400
-203.074517	0.087400
-202.714350	0.027000
-200.451167	-0.107900
-200.987717	-0.061700
-205.140150	0.290400
-201.149617	0.052300
-201.377967	0.114400
-196.668200	-0.173400
-191.748350	-0.487500
-196.211117	-0.234800
-194.581750	-0.249300
-207.561800	0.564900
-206.313100	0.555000
-197.674750	0.021600
-207.360500	0.591000
-204.369517	0.430900
-202.857517	0.401800
-198.717150	0.247500
-211.593433	1.010000
-198.291033	0.239600
-202.781617	0.534700
-198.218867	0.340600
-195.251800	0.201300
-194.983333	0.221000
-203.218683	0.709100
-202.134700	0.623100
-194.315450	0.160200
-187.697800	-0.073200
-193.420083	0.262100
-196.714850	0.492000
-196.686067	0.493600
-201.464933	0.780200
-188.513050	0.004200
-182.293017	-0.225800
-181.988850	-0.268200
-192.993450	0.392400
-186.434383	-0.011500
-201.245567	0.957100
-193.091150	0.501900
-184.703683	0.010400
-191.292783	0.431300
-190.447467	0.387100
-186.868867	0.178600
-192.627867	0.530200
-197.422083	0.822500
-197.638333	0.874400
-182.779700	0.070800
-193.518333	0.755000
-184.983167	0.210400
-194.936000	0.816300
-186.949050	0.391200
-182.604250	0.147600
-182.908583	0.203000
-187.706017	0.468400
-187.909183	0.480500
-188.228467	0.501700
-190.985033	0.771500
-184.021133	0.381500
-186.476033	0.557600
-184.216383	0.444800
-177.050850	0.016800
-179.505667	0.142000
-186.307983	0.590600
-179.696767	0.222100
-191.767817	0.957100
-179.096517	0.185200
-172.199767	-0.151400
-176.496900	0.187800
-178.472333	0.303200
-177.414467	0.280300
-179.468117	0.385600
-177.461450	0.294000
-167.568967	-0.296600
-177.761367	0.415600
-169.889650	-0.049500
-175.564983	0.277400
-178.208667	0.418600
-180.769267	0.708400
-176.765700	0.489000
-174.060383	0.362600
-175.598000	0.435000
-166.448150	-0.091200
-168.779650	0.045000
-169.786167	0.212500
-166.738333	0.057800
-173.966650	0.517200
-167.534067	0.127300
-168.336067	0.196300
-170.969667	0.357400
-169.517433	0.347600
-171.017233	0.476900
-167.851167	0.304000
-165.455683	0.182300
-165.896200	0.218400
-171.344383	0.551300
-180.876667	1.183600
-161.380500	0.080700
-160.783067	0.036100
-163.168633	0.184100
-165.775533	0.338900
-158.726700	0.042900
-159.581450	0.080100
-160.714800	0.182100
-165.132733	0.457100
-163.516717	0.356800
-164.827317	0.411100
-171.232717	0.900400
-169.908883	0.851300
-157.876883	0.155000
-162.398417	0.409600
-160.960150	0.339900
-174.525900	1.149600
-161.561317	0.520000
-158.088933	0.303800
-152.874717	-0.016700
-155.836717	0.171400
-155.000617	0.235000
-152.658417	0.079000
-159.516733	0.508400
-151.944067	0.049600
-154.392250	0.221400
-144.744850	-0.257700
-149.549500	0.015900
-157.235800	0.502500
-154.311083	0.311900
-156.579550	0.480900
-158.207883	0.593600
-152.322483	0.250700
-160.926967	0.770800
-163.969233	0.968000
-164.322033	0.989900
-148.706983	0.271700
-159.813983	0.911600
-157.872883	0.804800
-157.750417	0.777700
-147.923567	0.215800
-151.312067	0.439600
-155.872667	0.730000
-154.272067	0.632800
-156.661883	0.904100
-150.135700	0.542100
-140.370083	-0.070900
-153.468983	0.720800
-153.381167	0.750100
-152.692100	0.742500
-152.859683	0.797000
-140.993367	0.139300
-150.107650	0.668700
-147.711500	0.526500
-142.292617	0.250000
-141.907067	0.322300
-152.034317	0.940300
-147.365267	0.681700
-151.112383	0.911600
-153.229583	1.044200
-152.384600	0.983400
-143.703033	0.627800
-145.913667	0.761500
-138.825250	0.401100
-143.119467	0.671200
-148.579217	1.014700
-140.773817	0.525700
-144.499833	0.880100
-138.933050	0.555600
-136.200433	0.398300
-131.872383	0.131300
-141.467100	0.848700
-142.178717	0.874300
-140.015700	0.757800
-134.327083	0.416000
-140.916517	0.832900
-137.108417	0.645400
-135.906700	0.592500
-140.746200	0.899700
-124.755150	-0.056700
-135.660017	0.594700
-136.557067	0.644500
-129.682250	0.296400
-126.697450	0.120300
-126.961100	0.160200
-134.011167	0.577600
-134.374900	0.619800
-130.421633	0.368000
-140.562183	1.055000
-136.721000	0.827700
-133.407167	0.694300
-135.834917	0.838900
-131.483950	0.562500
-131.145717	0.582700
-123.523283	0.210800
-127.102133	0.458300
-119.854300	0.107400
-128.321183	0.614000
-123.317600	0.320400
-125.741267	0.471700
-120.731133	0.282200
-124.360450	0.522300
-124.066750	0.523500
-112.134217	-0.182600
-127.054283	0.723800
-129.171717	0.937000
-121.177150	0.499200
-124.824233	0.720800
-117.110417	0.275200
-122.719867	0.617200
-119.335933	0.434300
-119.953117	0.558700
-118.793133	0.493100
-123.939667	0.835900
-122.125517	0.758200
-119.059500	0.563100
-115.288433	0.331400
-118.486283	0.641000
-115.165250	0.435900
-120.652350	0.785700
-121.688317	0.868000
-109.863917	0.254500
-123.249283	1.063100
-116.334267	0.743800
-115.405117	0.641500
-107.442200	0.166800
-110.774450	0.371700
-112.745017	0.561400
-110.862883	0.521000
-108.071117	0.373600
-102.940700	0.084900
-115.080850	0.782700
-108.267100	0.385200
-115.043483	0.831200
-112.996167	0.799300
-107.388217	0.480700
-108.449250	0.575100
-102.051717	0.200500
-110.452433	0.694100
-111.221433	0.765500
-109.811983	0.826700
-105.894883	0.586400
-109.355483	0.836900
-103.989367	0.499300
-101.654217	0.495100
-102.861883	0.588500
-107.760933	0.911600
-103.903367	0.681400
-100.896850	0.523500
-105.842817	0.788200
-102.356267	0.629200
-105.631367	0.841300
-99.579300	0.523500
-105.269200	0.850500
-106.999600	0.973200
-104.787167	0.854800
-102.571100	0.774300
-100.577133	0.758000
-100.659767	0.754300
-108.690433	1.243100
-98.564217	0.678700
-98.143983	0.792500
-103.922617	1.128100
-96.035017	0.724000
-91.882833	0.478700
-91.720483	0.455900
-94.145333	0.579200
-95.940300	0.717600
-97.752800	0.839700
-98.147900	0.887100
-100.243517	1.037500
-95.062400	0.725100
-93.011633	0.605300
-95.013250	0.756900
-97.762217	0.930400
-101.201983	1.194800
-96.181783	0.881300
-94.982500	0.869700
-96.625000	0.987300
-97.741883	1.122500
-94.799950	0.994200
-95.674483	1.053200
-90.621617	0.766900
-88.221500	0.646500
-85.917067	0.588100
-83.153850	0.438300
-82.368950	0.429900
-89.875533	0.867200
-90.188450	0.892500
-87.162250	0.738900
-89.168183	0.992900
-79.269683	0.425600
-87.542117	0.895300
-91.682950	1.178100
-87.544533	1.052900
-88.779250	1.141500
-91.747883	1.369700
-75.115133	0.390200
-86.360533	1.038800
-85.328200	0.969000
-78.099500	0.574200
-76.223417	0.472900
-85.423967	1.079500
-82.163750	0.873900
-74.024417	0.406000
-78.917317	0.703000
-76.917867	0.722800
-80.667050	0.937500
-69.859150	0.268200
-72.474617	0.459100
-72.016700	0.471900
-72.799950	0.588900
-72.603767	0.590200
-79.779067	1.058500
-76.918833	0.890600
-79.634533	1.071200
-80.821633	1.157300
-74.482050	0.838200
-72.252567	0.722800
-77.894033	1.060400
-79.731800	1.184400
-70.916450	0.674700
-77.297133	1.064600
-78.148350	1.173900
-71.905933	0.813500
-70.305650	0.735600
-71.036833	0.789500
-65.324333	0.555800
-71.632150	0.991500
-65.981333	0.687800
-68.348617	0.844000
-66.992050	0.757800
-64.078683	0.586400
-66.677817	0.814000
-65.678817	0.830200
-60.425717	0.536800
-59.077650	0.484200
-60.710500	0.580500
-59.009650	0.492000
-65.895533	0.927800
-67.486150	1.131900
-68.940883	1.247300
-59.282450	0.725700
-65.663800	1.094100
-65.355700	1.077600
-64.029867	1.003600
-65.253250	1.138500
-58.736767	0.745600
-65.644367	1.168600
-62.652800	1.005300
-65.304133	1.278800
-53.845700	0.643800
-65.043567	1.392400
-66.762500	1.502100
-62.726917	1.270900
-52.330683	0.639500
-60.342717	1.214800
-57.692583	1.105700
-47.212067	0.533200
-54.642050	0.990600
-56.270683	1.061300
-54.210133	0.964100
-55.970150	1.083000
-55.009450	1.036800
-58.834000	1.293000
-54.282450	1.039500
-59.302583	1.351100
-57.161333	1.278200
-53.724733	1.102100
-48.321000	0.798000
-53.007767	1.083700
-54.018350	1.171200
-56.182250	1.300500
-49.453217	1.017100
-42.637367	0.637000
-45.586867	0.874900
-46.971883	0.961400
-44.684183	0.825200
-39.363000	0.509700
-46.299417	1.045900
-41.839050	0.767100
-42.479017	0.804100
-37.324350	0.499500
-38.043350	0.635700
-37.697367	0.647800
-35.707850	0.534000
-42.641833	0.939800
-42.678983	0.974600
-42.349700	0.956700
-39.628000	0.847200
-44.545033	1.215800
-38.580883	0.882800
-43.430950	1.217100
-40.367033	1.029800
-41.118217	1.094800
-39.028250	0.969300
-38.949817	1.078000
-38.838083	1.095800
-33.524300	0.775200
-36.997233	1.025300
-30.369083	0.739100
-26.831150	0.517500
-26.412033	0.516800
-36.302350	1.092600
-34.603667	1.028200
-37.013917	1.160200
-30.514250	0.898500
-26.492433	0.696200
-29.306133	0.910100
-30.490900	0.975300
-35.347317	1.276300
-20.957850	0.428400
-25.786317	0.906400
-37.929617	1.589800
-29.593183	1.086500
-23.613517	0.738100
-18.644150	0.523500
-28.065000	1.120200
-25.578050	0.992400
-26.814650	1.087200
-22.041000	0.838200
-24.052067	0.895900
-23.657517	0.885400
-27.070600	1.083000
-23.028733	0.854300
-18.338650	0.729300
-20.950450	0.891300
-13.309367	0.415300
-16.140167	0.576700
-19.362417	0.855400
-22.234117	1.048000
-21.075617	0.995500
-20.682100	0.976500
-9.556367	0.430900
-17.988767	0.941800
-16.382533	0.841700
-20.498683	1.088000
-18.414883	0.983600
-16.802633	0.908300
-22.113983	1.359200
-11.121750	0.708000
-18.474683	1.103900
-20.080567	1.233700
-15.920100	1.089900
-16.464333	1.193600
-10.578100	0.862200
-11.822400	0.957900
-16.856050	1.252500
-15.301367	1.159600
-12.501317	1.015900
-4.442633	0.653300
-7.484700	0.825900
-5.923350	0.748500
-10.081783	1.010600
-9.113050	0.971100
-8.763483	0.926900
-12.241433	1.180400
-3.230000	0.678600
-16.490667	1.513000
-9.263533	1.096700
-8.118383	1.051700
-1.048183	0.616700
-2.491100	0.767400
-9.335850	1.195500
4.023933	0.429100
-6.600933	1.050200
-8.106000	1.211100
-3.468400	1.024800
-11.301600	1.507800
-1.441600	0.959400
-9.271683	1.427600
-5.802800	1.225200
1.585400	0.842400
-1.776817	1.159900
2.315250	0.939600
2.897750	0.931800
6.070967	0.747500
1.155633	1.036300
-7.685400	1.582200
1.797933	1.170400
4.971000	0.982800
-1.448617	1.367500
6.968133	0.878500
6.261117	1.020800
4.633867	1.091900
12.420083	0.700300
9.606917	0.854300
11.384700	0.757800
3.534117	1.218800
7.414333	1.075300
15.377500	0.631200
15.003350	0.736800
12.494450	0.878700
12.434150	0.863400
5.397767	1.286600
11.791600	1.029600
13.087967	0.964100
15.534450	0.838200
15.386583	0.841900
9.924050	1.212300
19.154183	0.747100
14.432100	1.038300
14.487167	1.078100
13.851133	1.129900
15.150133	1.059100
23.122083	0.601300
18.732150	0.979800
18.275700	1.015200
21.212867	0.853400
27.201567	0.490400
20.491100	0.935700
22.039117	0.856400
15.770017	1.260800
16.529433	1.211200
19.716283	1.072000
16.080033	1.299100
32.060150	0.460500
21.694350	1.098900
19.871517	1.270400
25.919467	0.911600
29.107683	0.733300
24.529917	0.992600
26.790167	0.947900
25.277850	1.080000
30.931600	0.785700
34.038683	0.602800
28.429483	0.927400
27.307850	1.011300
32.054217	0.734000
28.613967	0.965900
21.848900	1.371300
32.327083	0.801100
31.121650	0.869700
31.720700	0.838200
28.016000	1.063200
33.267583	0.909700
36.753033	0.713800
23.499283	1.504900
25.064400	1.413600
25.723133	1.494700
30.113967	1.274300
28.516850	1.424100
29.618483	1.373200
27.142567	1.536800
34.947100	1.082700
36.459317	1.086200
34.761983	1.233100
36.817250	1.143300
42.409033	0.843100
35.993917	1.215800
42.709717	0.825800
49.303867	0.526100
47.798250	0.631500
48.261033	0.605800
42.475400	0.946800
44.814750	0.827700
47.367517	0.760400
48.374133	0.697000
46.703650	0.838200
48.122100	0.747600
44.614567	0.942500
43.039467	1.042700
45.428067	1.017800
52.241600	0.645300
49.938150	0.790200
45.843833	1.014100
51.805300	0.784500
47.295017	1.084700
48.011033	1.087300
43.074717	1.343600
37.786583	1.656400
44.807283	1.265800
49.871633	1.034500
52.788917	0.922700
55.503933	0.784900
51.298617	1.052300
58.010017	0.638900
54.600250	0.840300
45.420600	1.388400
50.091717	1.246700
51.679033	1.177900
55.210483	0.980200
56.741550	0.910200
54.524367	1.033100
53.582283	1.098700
54.825833	1.144000
46.625983	1.629700
53.851900	1.233000
46.742617	1.632200
46.069017	1.825100
57.282250	1.192200
56.846367	1.257800
64.135533	0.821500
60.059783	1.066900
66.509700	0.676200
54.520483	1.484800
58.916383	1.269400
65.849883	0.906400
63.159683	1.048000
59.246700	1.285800
68.564533	0.735100
58.976367	1.338200
67.584350	0.920400
68.022500	0.869700
62.172417	1.234700
63.717383	1.178800
65.973567	1.159400
69.690117	0.964100
76.403967	0.602900
71.249100	0.886800
67.350767	1.107200
68.059417	1.077800
70.226817	1.073300
77.665317	0.632300
82.251300	0.349500
67.212533	1.240000
64.044150	1.457100
63.765283	1.458400
63.115550	1.485900
68.697900	1.191600
66.748500	1.564200
72.749767	1.232600
77.662433	0.967600
80.058833	0.834100
72.615267	1.279400
70.951083	1.345600
71.481383	1.320700
72.774150	1.263000
74.579733	1.159900
75.526250	1.093800
76.471383	1.042300
79.070050	0.888300
70.572083	1.556800
88.004383	0.690700
86.222200	0.781500
78.895417	1.215800
76.373917	1.366700
73.507567	1.536800
79.228833	1.221100
78.873850	1.414200
84.231867	1.105700
91.183483	0.693400
89.545817	0.791900
87.436583	0.973900
88.564133	0.936100
82.335533	1.352200
81.718350	1.395600
75.817833	1.784800
80.667633	1.506100
77.192650	1.852200
79.769217	1.742300
98.277983	0.641500
90.100133	1.134700
98.297800	0.624600
90.818583	1.075300
89.978850	1.121400
95.674650	0.775200
95.734133	0.752200
83.429850	1.485900
88.502967	1.359200
92.438033	1.297600
96.254750	1.077000
90.067550	1.448400
92.218650	1.305900
92.567933	1.310200
86.541083	1.658500
88.125133	1.556200
93.714833	1.299700
94.235883	1.504300
95.914217	1.414400
102.261717	1.042400
99.626867	1.217300
99.343783	1.392100
104.191750	1.083000
100.082483	1.327300
103.521517	1.126700
108.874117	0.911600
103.165117	1.258400
104.757783	1.150300
96.217750	1.662000
93.562067	1.855700
95.804817	1.712900
109.727917	0.893300
104.679100	1.206600
104.481017	1.218800
101.454350	1.386300
104.456167	1.426400
113.890267	0.992000
112.478233	1.079500
110.510467	1.169300
113.587517	0.980600
108.524267	1.288700
113.061950	1.044000
112.508917	1.095800
114.944400	0.955500
115.977833	0.898000
115.819350	0.885900
116.423867	0.918800
114.680650	1.039500
105.476667	1.593500
115.638750	1.002000
121.461633	0.646300
120.266017	0.720800
123.020267	0.728300
114.804400	1.224600
117.112767	1.105700
119.910317	0.934700
108.965683	1.584700
118.072983	1.037500
114.028417	1.281200
123.365867	0.758000
120.245850	1.218900
120.087000	1.290600
121.270783	1.221100
125.276033	0.994900
129.784300	0.726300
127.551617	0.869000
130.143167	0.688700
121.083667	1.226300
131.036950	0.859200
130.555017	0.950300
127.765067	1.127000
126.281500	1.249500
137.419917	0.622100
125.710617	1.345400
132.807617	0.931100
124.462500	1.405500
134.254517	0.822500
131.112850	1.012800
131.748733	0.965800
129.541317	1.270700
137.494217	0.830900
137.225867	0.820100
132.461150	1.090800
135.595517	0.911600
128.541600	1.315500
138.300883	0.737500
126.937000	1.413900
133.159233	1.273900
138.027950	1.041600
127.432767	1.690100
132.835933	1.373200
135.712067	1.247300
134.457133	1.291900
137.928200	1.092000
137.796733	1.089400
140.568900	0.990900
146.129883	0.724000
139.095500	1.141500
138.856733	1.158700
139.284800	1.153500
133.707233	1.507600
136.793817	1.328000
137.039567	1.342400
144.166667	0.909500
142.283283	1.044100
137.914267	1.364600
140.553100	1.481400
147.119800	1.112700
152.814117	0.752300
149.451750	0.964800
138.400467	1.631600
144.714417	1.269200
149.733450	0.968400
141.923067	1.445900
148.528883	1.341700
150.030933	1.274800
156.437250	0.905100
148.538433	1.386100
156.387317	1.034000
151.017650	1.375500
162.658667	0.750800
164.173217	0.637100
156.846483	1.063000
154.956667	1.161500
151.571650	1.459200
151.726950	1.527900
157.853733	1.165300
158.903067	1.096700
154.193317	1.382900
148.658017	1.713800
153.096750	1.529700
153.662200	1.625700
159.895800	1.248000
157.614683	1.385500
158.729633	1.302400
158.563267	1.442300
155.169850	1.693800
157.697000	1.539300
168.431300	0.899400
163.746450	1.182300
166.041850	1.033200
164.327467	1.196000
165.897133	1.099600
167.184867	1.040000
162.492017	1.325300
173.004233	0.742900
163.100483	1.363300
165.430300	1.273500
167.377033	1.148800
166.495283	1.198900
162.121350	1.446600
161.704550	1.623300
164.392750	1.529400
169.382767	1.257800
166.197900	1.468200
163.182317	1.685600
163.715517	1.670600
164.158750	1.733100
170.941717	1.443800
168.863300	1.588200
168.597750	1.610100
164.751167	1.848500
176.916700	1.171200
177.439200	1.151400
171.889150	1.496400
178.923683	1.097800
172.931867	1.454600
178.194783	1.133800
178.085300	1.347000
178.588733	1.312900
174.464767	1.562000
177.502167	1.410200
178.342950	1.485600
178.662433	1.493800
173.127483	1.859500
178.708450	1.517700
183.088683	1.272100
180.083517	1.443500
177.264083	1.687900
180.201467	1.561400
174.774350	1.892400
182.954600	1.415100
176.234850	1.863000
178.371817	1.769300
185.234633	1.368700
187.624200	1.231200
179.721250	1.712400
176.989600	1.877700
177.261783	1.890700
176.373167	2.136500
182.080133	1.827700
186.381200	1.579800
190.597717	1.359800
189.065417	1.455200
191.866950	1.274700
187.325883	1.768900
197.108700	1.185300
192.300017	1.475600
193.162867	1.408700
184.418250	2.069400
188.658983	1.865500
194.315867	1.526000
190.183317	1.762100
195.453350	1.443600
191.281817	1.692500
197.050150	1.503600
192.804917	1.814900
197.742517	1.534700
203.541683	1.200100
205.715267	1.055600
204.001333	1.141900
198.058717	1.502300
206.257333	1.008100
197.219617	1.570100
201.092833	1.423000
198.333500	1.594200
201.762033	1.409200
196.790367	1.715000
198.705117	1.606100
199.636083	1.576000
196.129250	1.809900
196.119633	1.886500
201.040717	1.834700
208.236850	1.448100
203.333417	1.743800
203.194483	1.757500
205.939400	1.732500
201.781783	2.002600
210.017267	1.532900
208.325450	1.646700
210.336033	1.535800
206.269967	1.768100
215.275350	1.406700
210.335833	1.720000
209.800800	1.738800
217.857883	1.246000
212.940550	1.601700
217.431483	1.348900
208.662083	1.870000
215.084350	1.499100
218.574617	1.275800
216.477617	1.406300
210.929167	1.724600
209.710433	1.809400
212.516783	1.650100
211.931050	1.685100
208.783083	1.930300
216.713000	1.727400
215.875350	1.789500
213.139850	1.967100
217.906583	1.709800
218.333900	1.672500
214.168650	1.937400
225.586417	1.463900
219.105900	1.867500
218.248983	1.921000
226.345650	1.425600
224.412067	1.520000
224.922133	1.505200
223.431967	1.592900
222.435300	1.646700
233.999367	1.074200
224.755900	1.650600
227.427750	1.488600
222.829533	1.769800
224.983733	1.749400
225.051433	1.800400
219.747633	2.091700
221.124783	2.066800
231.664067	1.441400
233.880650	1.332300
230.456450	1.587600
235.068783	1.482400
230.346900	1.797000
232.635450	1.666200
238.634450	1.306200
227.537883	1.971100
231.407217	1.775000
232.215433	1.726300
232.585517	1.720100
240.390333	1.535200
241.857883	1.487800
237.601450	1.716300
238.990833	1.636900
247.137600	1.161900
241.706950	1.486500
241.776183	1.507300
240.804667	1.574300
237.703033	1.864900
242.599950	1.584900
246.141267	1.388900
246.377350	1.371900
244.509817	1.594100
243.664717	1.689800
242.831650	1.759200
