#Y dist(nm)	Y force(pN)
-165.902483	0.243100
-168.386467	0.318900
-166.253900	0.180200
-163.163583	-0.058700
-167.253667	0.160500
-163.943467	-0.039300
-164.666933	-0.024200
-167.538917	0.050400
-160.515367	-0.405300
-163.291617	-0.249900
-166.158100	-0.069700
-168.711467	0.016800
-179.509717	0.636000
-172.374517	0.198300
-182.517867	0.796200
-173.172817	0.275700
-175.547767	0.400800
-177.508683	0.414700
-179.572267	0.506700
-178.222167	0.380100
-181.446083	0.539800
-174.625250	0.111800
-181.730467	0.537900
-185.249483	0.642100
-185.094400	0.596300
-177.810317	0.144900
-184.595850	0.498800
-181.715400	0.320000
-174.291400	-0.121300
-182.932950	0.332900
-181.630950	0.161900
-178.022700	-0.058000
-182.841700	0.215600
-176.216900	-0.186100
-185.437283	0.306700
-186.742483	0.381100
-192.307000	0.698300
-187.573750	0.410000
-177.661917	-0.258600
-187.690700	0.310700
-180.685333	-0.171500
-188.276733	0.225400
-180.278367	-0.268500
-188.915733	0.236200
-193.410783	0.479800
-194.761700	0.547100
-187.830467	0.027000
-189.910600	0.130700
-194.126133	0.366100
-188.731017	0.037500
-201.838883	0.743800
-195.787950	0.321800
-185.476483	-0.322700
-194.995533	0.214600
-200.390517	0.530700
-192.824700	0.087500
-192.905000	0.063500
-189.819933	-0.130400
-192.157633	0.027700
-192.239900	0.006200
-194.819967	0.145800
-194.568450	0.122000
-193.020233	0.041800
-190.505450	-0.118000
-200.493400	0.426500
-197.907550	0.281000
-195.172400	0.117200
-193.182800	-0.005200
-195.013433	0.078100
-201.946300	0.501800
-203.927100	0.637100
-200.863100	-0.049000
-196.801350	-0.336700
-198.067033	-0.299300
-207.833017	0.272400
-211.480567	0.402900
-203.132200	-0.121300
-205.753783	0.025600
-210.120583	0.266800
-198.563300	-0.440800
-208.496933	0.144700
-201.966983	-0.254300
-202.699867	-0.216600
-206.061467	-0.127800
-206.516450	-0.233800
-216.243717	0.332700
-216.706117	0.391500
-219.538783	0.537100
-212.134950	0.084800
-217.383783	0.393400
-204.530050	-0.369100
-213.344683	0.117400
-208.519100	-0.346600
-217.507317	0.160800
-220.115700	0.280400
-215.268700	-0.022000
-217.074367	0.078000
-205.676233	-0.623900
-203.538150	-0.784300
-215.878167	-0.033600
-219.466650	0.173300
-217.178267	0.018300
-222.239150	0.172400
-222.449633	0.132700
-206.496367	-0.798300
-220.310117	-0.029400
-222.046467	0.097800
-225.870083	0.318700
-218.841100	-0.182800
-219.279783	-0.252800
-224.399183	0.023200
-226.870950	0.173600
-215.389933	-0.527900
-221.431667	-0.288900
-226.684533	-0.002900
-230.862717	0.227700
-221.165550	-0.363700
-230.088117	0.170700
-237.235967	0.601800
-230.139150	0.074900
-232.815767	0.206700
-234.172733	0.285100
-222.614350	-0.402400
-230.160683	0.016000
-229.066233	-0.052100
-238.991367	0.548700
-228.765183	-0.090200
-228.593367	-0.090900
-227.718267	-0.153900
-232.025067	-0.075300
-240.474650	0.348200
-236.942867	0.088200
-236.948283	0.114400
-239.363050	0.230600
-243.765250	0.505100
-240.542400	0.235400
-241.351917	0.209400
-241.144617	0.200400
-246.025800	0.483500
-236.943533	-0.091700
-243.470233	0.224800
-238.400033	-0.080600
-240.347317	0.005100
-244.824000	0.276200
-242.162117	0.118500
-248.186167	0.460500
-241.309833	-0.080300
-244.117583	0.066400
-242.854250	-0.022000
-240.087783	-0.200300
-242.664867	-0.075900
-235.004183	-0.527600
-237.975600	-0.376000
-242.140300	-0.136600
-246.693567	-0.024000
-239.381500	-0.490000
-244.245233	-0.199100
-247.594683	-0.003800
-246.220150	-0.057700
-245.537883	-0.112100
-248.080517	0.014700
-254.785367	0.419100
-246.283300	0.030500
-250.138867	0.305700
-251.366017	0.371400
-248.700517	0.219300
-247.610367	0.213600
-247.263850	0.228500
-246.930733	0.206200
-245.267500	0.108800
-244.486333	0.082900
-234.672850	-0.560500
-237.384667	-0.349800
-234.819833	-0.387800
-238.739450	-0.151900
-232.873850	-0.508000
-234.257900	-0.448300
-238.476150	-0.216100
-245.254133	0.184300
-244.068517	0.106500
-240.293600	-0.123700
-242.255450	0.019400
-238.249617	-0.213600
-239.712417	-0.138600
-240.685683	-0.090500
-236.552567	-0.307800
-236.253950	-0.347800
-242.143883	-0.025100
-239.619767	-0.170700
-232.638117	-0.270300
-229.848867	-0.401700
-233.873567	-0.156900
-234.742967	-0.102000
-238.618133	0.184000
-234.558750	-0.015700
-232.484867	-0.168900
-236.650983	0.115000
-240.428883	0.322900
-231.494833	-0.203600
-239.115850	0.274400
-240.191050	0.435200
-237.078233	0.257500
-233.707600	0.053900
-237.493883	0.266500
-232.069567	-0.046500
-238.208233	0.309700
-230.874417	-0.140100
-216.843417	-0.981000
-234.064417	0.239100
-235.496900	0.333200
-229.463083	-0.044900
-233.047733	0.182200
-234.721200	0.353300
-234.819750	0.354800
-226.646417	-0.105900
-228.751100	0.016700
-235.870600	0.411800
-226.512667	-0.158400
-234.192000	0.421100
-230.584550	0.250100
-229.001783	0.133300
-231.221067	0.268500
-225.308133	-0.065900
-227.758717	0.075600
-210.113667	-0.866400
-224.562067	0.002100
-228.916050	0.253400
-230.560917	0.371400
-224.173833	0.040900
-223.828883	0.068200
-226.376917	0.203100
-221.526817	-0.076500
-226.919833	0.226000
-224.881450	0.107600
-219.879250	-0.165100
-222.062450	0.008600
-218.280417	-0.222000
-222.499433	0.021100
-221.498183	-0.050000
-222.955750	0.137000
-221.687917	0.069300
-221.558017	0.092100
-216.952400	-0.196600
-221.249567	0.066600
-230.923500	0.642200
-222.591867	0.278700
-227.955633	0.634900
-224.106117	0.401100
-225.689517	0.525300
-219.077833	0.110200
-221.851367	0.293400
-214.449100	-0.142600
-216.544583	-0.029900
-213.124833	-0.191300
-215.721117	0.014400
-219.598883	0.250000
-215.488050	0.013400
-206.113300	-0.540400
-218.595967	0.184500
-220.672717	0.343500
-216.181733	0.064300
-221.975917	0.427500
-218.112700	0.411800
-213.979033	0.158800
-214.920483	0.225400
-213.026150	0.119300
-215.875383	0.315400
-214.159683	0.196600
-209.631450	-0.079000
-217.393550	0.375800
-214.356333	0.406900
-212.699550	0.326600
-216.298400	0.533300
-210.890533	0.207400
-214.353700	0.500000
-207.237217	0.120900
-205.661117	0.027000
-213.451083	0.487600
-212.224967	0.417000
-211.560250	0.376100
-203.463567	0.046200
-207.551550	0.284000
-205.468750	0.144200
-205.364417	0.143400
-202.956333	0.031300
-213.209050	0.647000
-202.968300	0.050600
-207.225550	0.303200
-211.851617	0.572700
-193.528117	-0.528300
-193.107083	-0.547100
-200.126350	-0.159100
-205.779450	0.179900
-203.770883	0.055300
-204.525717	0.134400
-196.695933	-0.119300
-205.157100	0.419900
-199.643350	0.070700
-199.924417	0.102000
-200.895983	0.234700
-196.798017	0.010200
-194.203667	-0.147900
-200.083717	0.170100
-207.336717	0.594600
-200.134350	0.151100
-207.580783	0.602200
-203.219233	0.347500
-206.141750	0.628400
-207.694417	0.757500
-207.873733	0.778000
-192.888533	-0.100700
-196.641467	0.112500
-201.788717	0.425400
-187.401317	-0.412200
-190.145750	-0.276700
-193.302900	-0.043000
-192.805083	-0.029000
-192.837233	0.013300
-186.208600	-0.307000
-199.068133	0.468400
-201.081250	0.578000
-194.322200	0.160700
-189.220483	-0.133700
-195.820700	0.292700
-189.735550	0.107900
-193.612133	0.366100
-198.478600	0.661700
-193.865133	0.412600
-184.964067	0.000300
-192.575367	0.435900
-187.654083	0.159400
-192.730433	0.446800
-189.685133	0.298600
-188.317567	0.248700
-193.502433	0.571900
-196.790083	0.787000
-188.090033	0.275500
-187.256067	0.231300
-198.939750	0.911600
-191.192750	0.455300
-188.033383	0.275500
-191.276933	0.476800
-185.950883	0.296500
-185.118933	0.383200
-179.555683	0.069400
-185.300883	0.386500
-183.383433	0.299200
-168.155817	-0.522000
-178.236817	0.067200
-181.816350	0.271100
-189.015233	0.696100
-175.239000	-0.035800
-182.271400	0.388400
-174.755867	-0.049800
-181.230067	0.328200
-183.669133	0.484000
-179.491800	0.225800
-183.363583	0.435400
-179.612917	0.228000
-183.681683	0.471700
-178.310433	0.143200
-174.523867	0.148500
-183.200167	0.720000
-172.614733	0.101800
-175.275333	0.280900
-181.524383	0.641500
-176.728333	0.352600
-172.497050	0.181400
-173.988700	0.341900
-175.476533	0.429100
-170.622633	0.111100
-177.330383	0.530200
-180.820950	0.732200
-181.718067	0.826800
-177.263983	0.605200
-177.532067	0.627600
-165.448800	-0.078100
-182.031550	0.902000
-172.875517	0.460500
-166.636133	0.106300
-176.002217	0.655800
-177.292783	0.725200
-168.256250	0.208100
-173.714267	0.535200
-181.751100	1.042700
-169.975650	0.326600
-179.107300	0.870800
-169.818733	0.323500
-164.049017	0.177900
-169.016983	0.532600
-161.703383	0.082900
-173.231650	0.768500
-166.941333	0.397600
-171.303917	0.658800
-169.217717	0.621000
-162.658200	0.309800
-159.512733	0.103900
-164.688017	0.407400
-163.805417	0.380100
-169.365267	0.717000
-166.334533	0.553600
-162.904033	0.408100
-159.397783	0.215500
-163.558333	0.467500
-169.622717	0.848700
-168.590100	0.890000
-161.023417	0.463500
-162.799433	0.570400
-157.903867	0.298800
-164.652133	0.691300
-161.152767	0.502500
-156.524117	0.240300
-154.062250	0.075200
-155.534450	0.164000
-155.614967	0.156300
-148.990767	0.016500
-154.669617	0.375900
-153.560050	0.313700
-147.048167	-0.091200
-158.915033	0.624400
-155.035983	0.379900
-145.949400	-0.055900
-159.012517	0.764100
-152.621283	0.366100
-157.158100	0.648800
-144.841700	-0.084100
-154.136233	0.459400
-152.969350	0.392000
-149.140017	0.166800
-148.570867	0.145800
-157.598283	0.675100
-157.971367	0.806700
-148.768800	0.425600
-145.200300	0.233000
-150.189617	0.503100
-155.011950	0.818000
-157.614300	0.956600
-151.873217	0.609300
-151.732850	0.618500
-155.571350	0.843800
-155.290033	0.841900
-150.559883	0.581200
-150.835550	0.802400
-149.988083	0.792700
-155.274983	1.098700
-141.567950	0.318500
-145.923583	0.563200
-144.178467	0.455700
-140.139317	0.401100
-132.501083	-0.034700
-141.298433	0.499900
-144.034400	0.659900
-148.090683	0.999700
-134.761817	0.281700
-134.834167	0.240300
-144.290050	0.846800
-138.720333	0.489400
-144.866133	0.876400
-143.388900	0.854300
-140.838667	0.773400
-140.855167	0.787200
-141.107833	0.825400
-134.136883	0.411100
-139.050200	0.696200
-140.773317	0.805200
-138.208217	0.646500
-144.285483	1.048000
-135.503867	0.650700
-126.030500	0.098300
-138.382967	0.828300
-134.113217	0.562800
-136.008250	0.656900
-137.087233	0.748000
-130.837017	0.350400
-136.691267	0.702600
-135.839017	0.745500
-131.973067	0.525300
-120.984633	-0.119000
-124.145567	0.058800
-136.273667	0.838200
-131.766733	0.568900
-137.053100	0.922100
-134.361233	0.772600
-135.356950	0.839000
-138.882567	1.060200
-135.050050	0.914000
-138.966133	1.257100
-129.453383	0.712300
-129.936200	0.747500
-127.545083	0.600400
-137.048367	1.178700
-130.746617	0.804600
-130.019217	0.774600
-130.645550	0.861800
-123.117450	0.604100
-129.097900	0.974600
-124.993267	0.743100
-117.576750	0.303200
-116.559450	0.221600
-126.747450	0.840800
-121.545500	0.521600
-120.866300	0.490100
-123.276267	0.859200
-130.371650	1.293500
-124.912683	1.002100
-120.632400	0.745400
-118.291067	0.662700
-119.746183	0.793300
-123.251100	0.974600
-121.819600	0.883400
-114.548100	0.432800
-112.821533	0.348400
-117.366433	0.670300
-114.219017	0.545100
-117.719150	0.755600
-118.438350	0.802400
-114.086217	0.534000
-114.993300	0.560600
-116.168750	0.657800
-118.867933	0.826600
-125.798350	1.289300
-117.767950	0.893900
-117.055133	0.844900
-115.104267	0.730500
-113.710050	0.646700
-117.407800	0.922700
-118.410217	0.991800
-111.879967	0.584100
-109.057133	0.432100
-112.727033	0.670300
-115.974317	0.879000
-112.292917	0.787800
-110.295250	0.730100
-110.990983	0.782200
-108.184183	0.617200
-103.719600	0.343400
-106.056283	0.487600
-109.375733	0.683500
-111.814250	0.836600
-104.636717	0.491100
-113.062417	1.155600
-111.789417	1.100400
-114.296850	1.246700
-110.760300	1.054400
-107.249733	0.852700
-112.082167	1.136700
-104.350200	0.676400
-109.348183	1.006000
-106.975600	1.083500
-104.682350	0.945200
-101.508267	0.756000
-102.313517	0.805800
-111.126167	1.366200
-103.480983	0.908800
-106.807167	1.105200
-95.672650	0.446300
-99.810017	0.960600
-112.097600	1.683200
-117.638000	2.028500
-109.672867	1.577700
-100.455900	1.135400
-99.417367	1.086000
-99.589233	1.067500
-90.517083	0.535900
-94.589900	0.789200
-93.842050	0.776600
-86.966200	0.345200
-97.499767	0.991800
-95.775483	0.868600
-97.160883	0.954700
-98.997250	1.077500
-98.870467	1.138500
-93.801633	0.842800
-90.720317	0.658500
-91.502350	0.708500
-86.207650	0.389600
-89.211300	0.569600
-87.041017	0.459600
-98.471967	1.163400
-90.687167	0.674700
-89.038017	0.601800
-91.714517	1.021800
-92.616083	1.107400
-88.773433	0.895000
-81.788700	0.487100
-81.128850	0.429800
-76.040417	0.123600
-89.435117	0.960600
-85.974817	0.749700
-83.151317	0.576600
-82.152650	0.522200
-85.555333	0.712300
-89.602300	0.946400
-87.520967	0.838200
-88.454000	0.891200
-77.812467	0.464700
-89.875883	1.351600
-84.758017	1.064400
-80.670183	0.817900
-70.523150	0.227900
-73.484400	0.434000
-77.567550	0.663800
-75.272867	0.519000
-79.338117	0.765600
-82.935583	0.975100
-77.711533	0.669700
-80.463583	0.995500
-73.357567	0.589200
-74.760367	0.671700
-76.018250	0.759500
-76.419767	0.891900
-81.619067	1.231200
-72.832033	0.720700
-75.565367	0.877500
-63.670900	0.186500
-68.659650	0.483200
-80.518317	1.173900
-70.535767	0.596400
-73.663467	0.782700
-72.086883	0.694000
-78.479133	1.088200
-78.485967	1.089900
-72.366017	0.908100
-71.451417	0.979800
-68.517350	0.809000
-65.713650	0.667100
-68.414267	0.882600
-64.226233	0.726700
-56.949150	0.309200
-67.518100	0.932600
-64.677167	0.759900
-65.379750	0.797300
-64.150500	0.740600
-61.788683	0.736600
-56.431217	0.427500
-61.636867	0.753600
-54.639450	0.325700
-61.330350	0.703100
-65.854717	0.966300
-67.641600	1.073300
-68.586567	1.142400
-61.398517	0.906000
-69.629667	1.435500
-63.611517	1.087500
-65.802867	1.235400
-64.601567	1.152900
-60.526067	0.907500
-58.186600	0.765500
-53.014983	0.452200
-54.480100	0.613700
-53.728117	0.596400
-52.241150	0.507800
-51.977017	0.501300
-62.552433	1.175800
