freq (kHz),psd (nm2/Hz)
20.002133333333333,0.100777596
20.01066666666667,0.10842352
20.0192,0.09520117
20.027733333333334,0.09296219
20.036266666666666,0.08961317
20.0448,0.09100992
20.05333333333333,0.097485796
20.061866666666663,0.09814909
20.070400000000003,0.10471246
20.078933333333335,0.10806627
20.087466666666668,0.10196896
20.096,0.10820182
20.104533333333332,0.111818895
20.113066666666665,0.099076845
20.121599999999997,0.09288478
20.13013333333333,0.09254583
20.13866666666667,0.1037765
20.1472,0.104421884
20.155733333333334,0.10418267
20.164266666666666,0.09665607
20.1728,0.09934895
20.18133333333333,0.09772876
20.189866666666664,0.09250552
20.198400000000003,0.09384016
20.206933333333335,0.09979408
20.215466666666668,0.10038829
20.224,0.10386097
20.232533333333333,0.111473106
20.241066666666665,0.10331664
20.249599999999997,0.10368487
20.25813333333333,0.101388514
20.26666666666667,0.10683077
20.2752,0.11315759
20.283733333333334,0.10277362
20.292266666666666,0.09551749
20.3008,0.091578804
20.30933333333333,0.10255739
20.317866666666664,0.10036559
20.326400000000003,0.10093719
20.334933333333336,0.10403701
20.343466666666668,0.10109514
20.352,0.09989317
20.360533333333333,0.11945877
20.369066666666665,0.10711304
20.377599999999997,0.09984127
20.38613333333333,0.1031793
20.39466666666667,0.10942131
20.403200000000002,0.11428287
20.411733333333334,0.10970235
20.420266666666667,0.10473416
20.4288,0.107870474
20.43733333333333,0.10689184
20.445866666666664,0.103339635
20.4544,0.10355645
20.462933333333336,0.1072192
20.471466666666668,0.10464197
20.48,0.10137256
20.488533333333333,0.10119547
20.497066666666665,0.096286416
20.505599999999998,0.091451384
20.51413333333333,0.08988765
20.52266666666667,0.109358534
20.531200000000002,0.10176637
20.539733333333334,0.09607759
20.548266666666667,0.10442222
20.5568,0.11134657
20.56533333333333,0.11164156
20.573866666666664,0.11512856
20.5824,0.11737456
20.590933333333336,0.11691677
20.599466666666668,0.108139746
20.608,0.10884863
20.616533333333333,0.10476384
20.625066666666665,0.12278135
20.633599999999998,0.105333626
20.64213333333333,0.097403385
20.65066666666667,0.09999927
20.659200000000002,0.10040869
20.667733333333334,0.11094125
20.676266666666667,0.10302816
20.6848,0.10249327
20.69333333333333,0.10744774
20.701866666666664,0.10137727
20.7104,0.10753228
20.718933333333336,0.103613384
20.72746666666667,0.10367389
20.736,0.10778837
20.744533333333333,0.107494324
20.753066666666665,0.09913153
20.761599999999998,0.11292137
20.77013333333333,0.109427504
20.778666666666666,0.10373279
20.787200000000002,0.09600356
20.795733333333335,0.10647965
20.804266666666667,0.10689668
20.8128,0.10648429
20.82133333333333,0.099363476
20.829866666666664,0.0945729
20.8384,0.10190943
20.846933333333336,0.11193975
20.85546666666667,0.10611701
20.864,0.109841004
20.872533333333333,0.104075626
20.881066666666666,0.10100123
20.889599999999998,0.113255665
20.89813333333333,0.12657447
20.906666666666666,0.11981777
20.915200000000002,0.10022846
20.923733333333335,0.10356347
20.932266666666667,0.11098829
20.9408,0.101263784
20.949333333333332,0.10640616
20.957866666666664,0.113712035
20.9664,0.11585832
20.974933333333333,0.11106378
20.98346666666667,0.106661126
20.992,0.11101033
21.000533333333333,0.10994069
21.009066666666666,0.11521293
21.017599999999998,0.11537632
21.02613333333333,0.111058354
21.034666666666666,0.105387956
21.043200000000002,0.09749967
