freq (kHz),psd (bit2/Hz)
20.010666666666665,0.0034381673257406187
20.05333333333333,0.003438717319547843
20.096,0.003439271129597701
20.138666666666666,0.00343982878981095
20.18133333333333,0.003440390334499392
20.224,0.0034409557983713056
20.266666666666666,0.003441525216536943
20.30933333333333,0.0034420986245141593
20.352,0.003442676058234087
20.394666666666666,0.0034432575540469463
20.43733333333333,0.003443843148727908
20.48,0.0034444328794831025
20.522666666666666,0.0034450267839556716
20.56533333333333,0.0034456249002319814
20.608,0.0034462272668478906
20.650666666666663,0.003446833922795143
20.69333333333333,0.0034474449075278606
20.736,0.0034480602609691744
20.778666666666663,0.003448680023517899
20.82133333333333,0.003449304236055412
20.864,0.003449932939952553
20.906666666666663,0.003450566177076729
20.949333333333332,0.003451203989799063
20.992,0.003451846421001721
21.034666666666663,0.0034524935140853347
21.077333333333332,0.0034531453129765526
21.12,0.0034538018621357446
21.162666666666663,0.0034544632065647996
21.205333333333332,0.003455129391815082
21.248,0.0034558004639955444
21.290666666666663,0.0034564764697809225
21.333333333333332,0.00345715745642014
21.376,0.0034578434717448055
21.418666666666663,0.003458534564177896
21.461333333333332,0.0034592307827425624
21.504,0.003459932177071114
21.546666666666663,0.0034606387974141415
21.589333333333332,0.0034613506946498092
21.632,0.0034620679202933247
21.674666666666663,0.0034627905265065422
21.717333333333332,0.0034635185661077714
21.76,0.00346425209258174
21.802666666666664,0.003464991160089748
21.845333333333333,0.003465735823479983
21.888,0.0034664861382980422
21.930666666666664,0.003467242160797645
21.973333333333333,0.0034680039479515036
22.016,0.0034687715574624346
22.058666666666664,0.0034695450477746554
22.101333333333333,0.003470324478085262
22.144,0.003471109908355967
22.186666666666664,0.003471901399324996
22.229333333333333,0.003472699012519243
22.272,0.003473502810266629
22.314666666666664,0.0034743128557087016
22.357333333333333,0.0034751292128134418
22.4,0.003475951946388347
22.442666666666664,0.003476781122093723
22.485333333333333,0.003477616806456237
22.528,0.0034784590668827243
22.570666666666664,0.0034793079716742507
22.613333333333333,0.003480163590040445
22.656,0.0034810259921140858
22.698666666666664,0.003481895248965982
22.741333333333333,0.0034827714326201298
22.784,0.0034836546160691437
22.826666666666664,0.003484544873290001
22.869333333333334,0.00348544227926007
22.912,0.003486346909973462
22.954666666666665,0.003487258842457681
22.997333333333334,0.003488178154790597
23.04,0.003489104926117767
23.082666666666665,0.003490039236670047
23.125333333333334,0.003490981167781603
23.168,0.0034919308019082207
23.210666666666665,0.003492888222646003
23.253333333333334,0.0034938535147504236
23.296,0.0034948267641557625
23.338666666666665,0.0034958080579949066
23.38133333333333,0.003496797484619553
23.424,0.003497795133620823
23.466666666666665,0.0034988010958502624
23.50933333333333,0.003499815463441271
23.552,0.0035008383298309707
23.594666666666665,0.003501869789782487
23.63733333333333,0.003502909939407704
23.68,0.003503958876190458
23.722666666666665,0.0035050166990102114
23.76533333333333,0.0035060835081661937
23.808,0.003507159405402061
23.850666666666665,0.003508244493931019
23.89333333333333,0.0035093388784614866
23.936,0.0035104426652232826
23.978666666666665,0.0035115559619943383
24.02133333333333,0.00351267887812798
24.064,0.0035138115245807555
24.106666666666666,0.0035149540139408513
24.14933333333333,0.003516106460457102
24.192,0.003517268980068593
24.234666666666666,0.0035184416904349004
24.27733333333333,0.003519624710966956
24.32,0.003520818162858552
24.362666666666666,0.0035220221691185305
24.40533333333333,0.0035232368546036586
24.448,0.003524462346052173
24.490666666666666,0.0035256987721180633
24.53333333333333,0.0035269462634061
24.576,0.0035282049525075703
24.618666666666662,0.0035294749740368407
24.66133333333333,0.0035307564646686615
24.704,0.003532049563176296
24.746666666666663,0.003533354410470499
24.78933333333333,0.003534671149639299
24.832,0.003535999925988701
24.874666666666663,0.0035373408870842536
25.130666666666663,0.0035456510926056366
25.173333333333332,0.003547081677724507
25.216,0.003548525714758883
25.258666666666663,0.0035499833736398335
25.301333333333332,0.0035514548270280492
25.344,0.0035529402503668797
25.386666666666663,0.003554439821936558
25.429333333333332,0.003555953722909688
25.472,0.0035574821374079885
25.514666666666663,0.0035590252525603537
25.557333333333332,0.0035605832585622467
25.6,0.0035621563487364793
25.642666666666663,0.0035637447195954095
25.685333333333332,0.003565348570904577
25.728,0.003566968105747844
25.770666666666664,0.0035686035305940527
25.813333333333333,0.003570255055365287
25.856,0.0035719228935066887
25.898666666666664,0.003573607262058007
25.941333333333333,0.003575308381726803
25.984,0.0035770264769634076
26.026666666666664,0.003578761776037713
26.069333333333333,0.003580514511117765
26.112,0.0035822849183502993
26.154666666666664,0.003584073237943207
26.197333333333333,0.003585879714250005
26.24,0.0035877045958563818
26.282666666666664,0.003589548135668868
26.325333333333333,0.0035914105910056617
26.368,0.003593292223689727
26.410666666666664,0.003595193300144183
26.453333333333333,0.0035971140914900653
26.496,0.0035990548736465323
26.538666666666664,0.003601015927433582
26.581333333333333,0.0036029975386773364
26.624,0.0036049999983180005
26.666666666666664,0.0036070236025205517
26.709333333333333,0.0036090686527882245
26.752,0.003611135456078913
26.794666666666664,0.0036132243249245486
26.837333333333333,0.0036153355775535275
26.88,0.003617469538016313
26.922666666666665,0.0036196265363142967
26.965333333333334,0.0036218069085319844
27.008,0.0036240109969726494
27.050666666666665,0.003626239150297535
27.093333333333334,0.003628491723668705
27.136,0.0036307690788956806
27.178666666666665,0.0036330715845859373
27.221333333333334,0.003635399616299442
27.264,0.003637753556707266
27.306666666666665,0.0036401337957544786
27.34933333333333,0.003642540730827425
27.392,0.003644974766925509
27.434666666666665,0.0036474363168376273
27.47733333333333,0.003649925801323422
27.52,0.003652443649299478
