freq (kHz),psd (nm2/Hz)
20.002133333333333,0.10038248176792955
20.01066666666667,0.10043331942768151
20.0192,0.10048421664558643
20.027733333333334,0.10053517350692039
20.036266666666666,0.10058619009711797
20.0448,0.10063726650177268
20.05333333333333,0.10068840280663731
20.061866666666663,0.10073959909762417
20.070400000000003,0.1007908554608056
20.078933333333335,0.1008421719824142
20.087466666666668,0.10089354874884321
20.096,0.10094498584664692
20.104533333333332,0.10099648336254098
20.113066666666665,0.10104804138340269
20.121599999999997,0.10109965999627153
20.13013333333333,0.10115133928834932
20.13866666666667,0.1012030793470007
20.1472,0.1012548802597534
20.155733333333334,0.10130674211429871
20.164266666666666,0.10135866499849175
20.1728,0.10141064900035189
20.18133333333333,0.1014626942080631
20.189866666666664,0.10151480070997411
20.198400000000003,0.1015669685945993
20.206933333333335,0.10161919795061838
20.215466666666668,0.10167148886687737
20.224,0.10172384143238844
20.232533333333333,0.10177625573633077
20.241066666666665,0.10182873186805048
20.249599999999997,0.1018812699170614
20.25813333333333,0.1019338699730451
20.26666666666667,0.10198653212585142
20.2752,0.10203925646549877
20.283733333333334,0.10209204308217475
20.292266666666666,0.1021448920662361
20.3008,0.10219780350820946
20.30933333333333,0.10225077749879158
20.317866666666664,0.10230381412884952
20.326400000000003,0.10235691348942155
20.334933333333336,0.10241007567171684
20.343466666666668,0.10246330076711643
20.352,0.10251658886717326
20.360533333333333,0.10256994006361272
20.369066666666665,0.102623354448333
20.377599999999997,0.10267683211340535
20.38613333333333,0.10273037315107464
20.39466666666667,0.10278397765375971
20.403200000000002,0.10283764571405364
20.411733333333334,0.1028913774247242
20.420266666666667,0.10294517287871437
20.4288,0.10299903216914251
20.43733333333333,0.10305295538930284
20.445866666666664,0.10310694263266601
20.4544,0.10316099399287913
20.462933333333336,0.10321510956376648
20.471466666666668,0.10326928943932966
20.48,0.10332353371374832
20.488533333333333,0.10337784248138021
20.497066666666665,0.10343221583676168
20.505599999999998,0.1034866538746082
20.51413333333333,0.10354115668981474
20.52266666666667,0.10359572437745593
20.531200000000002,0.1036503570327867
20.539733333333334,0.1037050547512427
20.548266666666667,0.10375981762844054
20.5568,0.10381464576017836
20.56533333333333,0.10386953924243605
20.573866666666664,0.10392449817137588
20.5824,0.10397952264334268
20.590933333333336,0.10403461275486443
20.599466666666668,0.10408976860265254
20.608,0.10414499028360244
20.616533333333333,0.10420027789479376
20.625066666666665,0.10425563153349082
20.633599999999998,0.1043110512971433
20.64213333333333,0.10436653728338616
20.65066666666667,0.10442208959004057
20.659200000000002,0.1044777083151139
20.667733333333334,0.10453339355680043
20.676266666666667,0.10458914541348169
20.6848,0.10464496398372682
20.69333333333333,0.10470084936629305
20.701866666666664,0.1047568016601261
20.7104,0.10481282096436063
20.718933333333336,0.1048689073783206
20.72746666666667,0.1049250610015197
20.736,0.104981281933662
20.744533333333333,0.10503757027464201
20.753066666666665,0.10509392612454548
20.761599999999998,0.10515034958364944
20.77013333333333,0.10520684075242301
20.778666666666666,0.1052633997315276
20.787200000000002,0.10532002662181743
20.795733333333335,0.10537672152433987
20.804266666666667,0.10543348454033606
20.8128,0.10549031577124116
20.82133333333333,0.10554721531868494
20.829866666666664,0.10560418328449207
20.8384,0.10566121977068277
20.846933333333336,0.10571832487947293
20.85546666666667,0.10577549871327488
20.864,0.10583274137469761
20.872533333333333,0.10589005296654747
20.881066666666666,0.10594743359182833
20.889599999999998,0.10600488335374206
20.89813333333333,0.1060624023556893
20.906666666666666,0.10611999070126953
20.915200000000002,0.10617764849428164
20.923733333333335,0.10623537583872457
20.932266666666667,0.10629317283879743
20.9408,0.1063510395989003
20.949333333333332,0.10640897622363442
20.957866666666664,0.10646698281780277
20.9664,0.10652505948641053
20.974933333333333,0.10658320633466549
20.98346666666667,0.10664142346797856
20.992,0.10669971099196417
21.000533333333333,0.10675806901244086
21.009066666666666,0.1068164976354316
21.017599999999998,0.10687499696716436
21.02613333333333,0.10693356711407244
21.034666666666666,0.10699220818279517
21.043200000000002,0.10705092028017811
21.051733333333335,0.10710970351327374
21.060266666666667,0.10716855798934186
21.0688,0.10722748381584994
21.077333333333332,0.10728648110047381
21.085866666666664,0.10734554995109805
21.0944,0.1074046904758164
21.102933333333333,0.10746390278293215
21.11146666666667,0.1075231869809591
21.12,0.10758254317862131
21.128533333333333,0.10764197148485424
21.137066666666666,0.10770147200880492
21.145599999999998,0.10776104485983233
21.15413333333333,0.10782069014750825
21.162666666666667,0.10788040798161738
21.171200000000002,0.10794019847215806
21.179733333333335,0.10800006172934261
21.188266666666667,0.10805999786359795
21.1968,0.10812000698556605
21.205333333333332,0.10818008920610432
21.213866666666664,0.10824024463628638
21.2224,0.10830047338740217
21.230933333333333,0.10836077557095876
21.23946666666667,0.10842115129868068
21.248,0.1084816006825106
21.256533333333334,0.10854212383460957
21.265066666666666,0.1086027208673577
21.2736,0.10866339189335478
21.28213333333333,0.10872413702542036
21.290666666666667,0.10878495637659484
21.2992,0.10884585006013946
21.307733333333335,0.10890681818953701
21.316266666666667,0.10896786087849257
21.3248,0.10902897824093358
21.333333333333332,0.10909017039101071
21.341866666666665,0.10915143744309819
21.3504,0.10921277951179448
21.358933333333333,0.1092741967119225
21.36746666666667,0.10933568915853048
21.376,0.10939725696689241
21.384533333333334,0.10945890025250835
21.393066666666666,0.10952061913110515
21.4016,0.10958241371863692
21.41013333333333,0.1096442841312856
21.418666666666667,0.10970623048546148
21.4272,0.10976825289780355
21.435733333333335,0.1098303514851803
21.444266666666667,0.1098925263646901
21.4528,0.10995477765366178
